elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
120,13.066749999999999,13.092500000000001,0.21810371195068357,12.654,13.4535,12.875,13.0,0.125,12.625,13.0,0.19174999999999998,0.0925,0.12896406153136875,0.029249999999999998,0.4534999999999999,98.09299999999999,98.1705,2.5521785791750555,93.43975,102.66875
121,12.44075,12.5915,0.3312955314619664,11.77825,12.9525,12.5,12.75,0.3535533905932738,11.875,13.0,-0.05924999999999998,0.04,0.11764379499149116,-0.28774999999999995,0.08211249999999991,97.95875,97.917,2.7490602144187384,92.935,103.02425
122,11.06325,11.048,0.2019498184368251,10.71175,11.43,11.5,11.75,0.3535533905932738,10.875,12.0,-0.43675,-0.67,0.3345898920071157,-0.9125000000000001,0.1525,99.346,98.43350000000001,1.533061805668642,97.16049999999998,102.44399999999999
123,10.81275,10.828,0.15492007347876735,10.546,11.0795,10.75,10.75,0.14433756729740643,10.5,11.0,0.06275,0.038000000000000006,0.205649935164914,-0.293,0.44325,99.32225,98.188,2.4334789011824207,95.43175000000001,103.30175
124,10.5625,10.587,0.21764860823507848,10.1515,10.949,10.5,10.5,0.2041241452319315,10.125,10.875,0.0625,0.047,0.20175294297729585,-0.309,0.42899999999999994,99.545,97.9065,2.420799351453977,96.4255,104.303
125,10.31225,10.3275,0.15489371355868492,10.0455,10.579,10.375,10.25,0.23935677693908453,10.0,10.75,-0.06275000000000001,0.038000000000000006,0.31253729777420164,-0.66875,0.4425,99.72749999999999,99.212,1.8604498783896324,97.35249999999999,103.28875
126,9.68575,9.5845,0.12911840496226717,9.524500000000002,9.94825,10.0,10.0,0.2041241452319315,9.625,10.375,-0.31425000000000003,-0.2045,0.22768010270260042,-0.6865000000000001,0.053000000000000005,100.10475,99.464,1.2948442876140218,98.14725000000001,102.703
127,9.4355,9.5755,0.14355399680956274,9.14940625,9.5845,9.5,9.5,0.2041241452319315,9.125,9.875,-0.0645,-0.1745,0.2500488285648758,-0.456,0.32699999999999996,100.32849999999999,98.9585,1.649546831708635,98.31800000000001,103.51675
128,9.43525,9.5365,0.11796636173079153,9.20575,9.5755,9.25,9.0,0.25,9.0,9.75,0.18524999999999997,0.295,0.22757649812755268,-0.1865,0.5365,100.36099999999999,99.7345,1.2397414380964007,98.57149999999999,102.577
129,9.685749999999999,9.5845,0.10682257486130922,9.5725,9.90025,9.25,9.25,0.14433756729740643,9.0,9.5,0.43574999999999997,0.5369999999999999,0.11882506399465279,0.18875,0.5814999999999999,99.73375,99.481,2.17763673030344,96.2035,103.51675
130,10.187000000000001,10.077000000000002,0.1347497680888539,10.02575,10.45835,9.875,9.75,0.23935677693908453,9.5,10.25,0.312,0.32699999999999996,0.3378103511340843,-0.22825,0.83725,98.962,98.43350000000001,2.353619659163305,94.94200000000001,103.51065625
131,11.06325,11.038499999999999,0.2058403001520029,10.707,11.44425,10.875,11.0,0.125,10.625,11.0,0.18824999999999997,0.2885,0.24198704338593555,-0.2035,0.58,99.2305,99.22,2.4560283827078737,94.95474999999999,103.51675
132,11.81475,11.8305,0.15973956669111963,11.539,12.0905,11.5,11.5,0.2041241452319315,11.125,11.875,0.31475,0.5805,0.2692893038474916,-0.22225,0.5905,99.9295,98.3055,1.9278482175731564,97.67699999999999,103.806
133,12.190749999999998,12.081499999999998,0.1349230490563668,12.028749999999999,12.462,12.375,12.25,0.23935677693908453,12.0,12.75,-0.18425,-0.19999999999999998,0.13012838212063244,-0.4085,0.039999999999999994,100.55875,99.291,1.5684650870091628,98.6965,103.642
134,12.566249999999998,12.582,0.22169174356900787,12.153749999999999,12.963000000000001,12.5,12.5,0.2041241452319315,12.125,12.875,0.06624999999999998,0.08199999999999999,0.2988543053618825,-0.4505,0.583,100.63550000000001,99.28,2.0717018969919376,97.89975625,104.57275
135,12.816249999999998,12.832,0.15499106157022977,12.549499999999998,13.083000000000002,13.125,13.0,0.375,12.5,13.75,-0.30875,-0.4495,0.36469356428833966,-0.908,0.2905,100.7675,99.28,2.0054288194797634,98.17049999999999,104.57275
136,12.566249999999998,12.582,0.22169174356900787,12.153749999999999,12.963,12.875,12.75,0.23935677693908453,12.5,13.375,-0.30875,-0.408,0.1287817113050866,-0.47125,-0.0475,100.30575,98.5685,1.9588327040612754,98.0645,104.15775000000001
137,12.19075,12.582,0.3946074790218757,11.402999999999999,12.5915,12.5,12.75,0.3535533905932738,11.875,13.0,-0.30924999999999997,-0.4085,0.12896406153136875,-0.472,-0.0475,101.11174999999999,99.50299999999999,2.2696438551382196,97.917,105.14425
138,10.81325,10.838,0.3356663459945505,10.2765,11.3295,11.5,12.0,0.5,10.5,12.0,-0.68675,-0.6705,0.3059224779253724,-1.1662499999999998,-0.2115,101.274,99.5335,1.9553438316572334,98.94999999999999,105.04974999999999
139,9.9365,9.8355,0.2470521200070948,9.5455,10.3275,10.0,10.0,0.408248290463863,9.25,10.75,-0.06349999999999999,-0.16449999999999998,0.22405672644816238,-0.422,0.295,102.16375,101.75999999999999,1.3244756431005695,100.21374999999999,104.5175
140,9.31025,9.334,0.33551834897662475,8.77375,9.826,9.375,9.5,0.3145764348029479,8.75,9.875,-0.06474999999999999,0.036500000000000005,0.11801156369893022,-0.294,0.07600000000000001,101.92349999999999,101.5,1.082029689980824,100.238,103.67949999999999
141,8.684000000000001,8.8255,0.2547636159266076,8.269,9.0745,8.75,8.75,0.3227486121839514,8.125,9.253124999999997,-0.066,0.0425,0.1237787003755762,-0.3047437499999996,0.083,102.17925,102.2785,1.280628776226739,99.83574999999999,104.42349999999999
142,8.308,8.3245,0.15389336134696224,8.043,8.573,8.125,8.25,0.23935677693908453,7.75,8.5,0.183,0.0815,0.10673097020078098,0.0695,0.39725,102.39375,101.9685,1.3319980214574896,100.238,104.5495
