rock,hour,temp_in_mean,temp_in_median,temp_in_sem,temp_in_mean_ci_low,temp_in_mean_ci_up,temp_in_median_ci_low,temp_in_median_ci_up,temp_out_mean,temp_out_median,temp_out_sem,temp_out_mean_ci_low,temp_out_mean_ci_up,temp_out_median_ci_low,temp_out_median_ci_up,temp_diff_mean,temp_diff_median,temp_diff_sem,temp_diff_mean_ci_low,temp_diff_mean_ci_up,temp_diff_median_ci_low,temp_diff_median_ci_up,hum_mean,hum_median,hum_sem,hum_mean_ci_low,hum_mean_ci_up,hum_median_ci_low,hum_median_ci_up
1,12,14.912545454545455,13.593,0.85450637918398,13.456272727272728,16.64155681818182,13.092,16.597,13.818181818181818,12.5,0.6002754188806974,12.726136363636364,14.954545454545455,12.5,16.0,1.0943636363636364,0.595,0.4628381667441023,0.5004795454545464,2.095370454545454,0.591,1.093,95.39045454545453,94.766,1.257509554372786,92.67419090909092,97.62968863636362,93.774,98.19
1,13,15.094818181818182,14.094,0.654384232669876,13.95709090909091,16.41436590909091,13.593,16.597,14.818181818181818,13.5,0.7546002170708048,13.58977272727273,16.181818181818183,12.5,16.5,0.2766363636363636,0.592,0.1685540254759056,-0.041459090909090925,0.549459090909091,0.095,0.594,93.38563636363637,93.774,1.53514062295003,90.39683863636363,96.06972954545455,90.254,97.706
1,14,15.413272727272727,14.594,0.5894819002681947,14.412088636363636,16.550911363636363,14.094,16.597,15.136363636363637,14.5,0.5881052359867589,14.090909090909092,16.22840909090909,13.5,16.5,0.27690909090909094,0.097,0.13944868424330897,0.04917954545454545,0.5496386363636364,0.094,0.597,91.1260909090909,90.761,1.7842308832177798,87.85472500000002,94.17258409090908,87.693,97.706
1,15,15.413181818181817,14.594,0.5738182610323718,14.412,16.597679545454547,14.594,16.597,15.454545454545455,15.5,0.5154633637212668,14.545454545454545,16.455681818181816,14.0,16.0,-0.04136363636363636,0.094,0.16674707426776492,-0.35927954545454543,0.27691136363636354,-0.407,0.594,91.55545454545455,90.254,1.6154938865624533,88.75122272727273,94.74945454545454,86.659,95.26
1,16,15.413272727272727,14.594,0.5971658988453726,14.275454545454544,16.596277272727274,14.094,16.597,15.318181818181818,15.0,0.5320318141236194,14.407954545454546,16.363636363636363,14.0,16.0,0.09509090909090907,0.094,0.1654760325707983,-0.22282045454545454,0.4138204545454546,-0.406,0.597,91.43909090909091,91.771,1.8576232392962666,88.08477272727272,94.86488181818181,85.095,98.19
1,17,15.003818181818179,14.094,0.5680236521673088,14.04686590909091,16.14259090909091,14.094,16.096,15.227272727272727,15.0,0.5695438220973486,14.226136363636364,16.454545454545453,13.5,16.0,-0.22345454545454546,-0.405,0.13946341088330877,-0.49582500000000007,0.048820454545454535,-0.409,0.096,92.93181818181819,94.766,1.9606966286046112,89.36739318181817,96.42772272727272,86.139,99.635
1,18,14.184272727272726,14.094,0.7721014546018854,12.909906818181817,15.777272727272726,12.591,15.095,14.363636363636363,13.5,0.6071202857114182,13.363636363636363,15.546590909090908,13.0,15.5,-0.17936363636363636,-0.406,0.24724129813631912,-0.5925295454545444,0.27590909090909094,-0.909,0.594,94.05099999999999,94.271,1.6670995007660898,90.74359772727271,97.06306590909091,90.761,98.19
1,19,13.638,13.593,0.9217270055321548,12.090454545454547,15.367788636363636,11.59,14.594,13.545454545454545,13.0,0.8186867129032311,12.136363636363637,15.272727272727273,11.5,14.5,0.09254545454545454,0.094,0.15154197520137414,-0.1816431818181818,0.36718409090909093,-0.41,0.591,94.89136363636362,96.732,1.8092148436305797,91.34068409090908,98.04411136363638,92.776,99.155
1,20,13.410363636363638,13.593,0.9973386337715104,11.725043181818183,15.459499999999998,11.089,14.094,13.045454545454545,13.0,0.9056754020532398,11.5,14.773863636363636,11.0,14.0,0.3649090909090909,0.591,0.15698624459402657,0.08916136363636362,0.6403636363636364,0.087,0.596,95.65163636363636,97.22,1.8128501531251686,92.00169090909093,98.86095227272727,93.275,100.591
1,21,13.182545454545453,13.092,1.0690821327716455,11.407452272727271,15.27750227272727,10.588,13.593,12.818181818181818,12.5,1.0515631811579094,10.954545454545455,14.863636363636363,10.0,13.5,0.3643636363636363,0.586,0.07898265318493822,0.22645227272727275,0.502640909090909,0.093,0.592,95.82081818181818,98.19,1.9024362888301538,92.21654772727273,99.21896590909091,92.274,100.591
