Hour,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
2,7.597222222222222,7.0,0.7535154237486852,6.332638888888889,9.167013888888889,5.5,8.5,7.803611111111113,7.081,0.750452855109836,6.425911805555555,9.25061875,5.578,8.8345,-0.2063888888888889,-0.0890000000000004,0.07000087615979766,-0.3440861111111112,-0.07029583333333335,-0.573,-0.0810000000000004,90.97858333333333,98.19,2.6000530581811487,85.96190763888889,95.56075624999998,87.128,102.013,15
3,7.402777777777778,6.5,0.7437089176180564,5.944097222222223,8.959722222222222,5.25,8.5,7.678361111111111,6.830500000000001,0.7508132565919774,6.328484722222222,9.236370138888889,5.578,8.584,-0.27558333333333335,-0.08800000000000005,0.05387435964337884,-0.3856159722222222,-0.1775270833333333,-0.5750000000000002,-0.08,91.65558333333334,97.4585,2.4294514569234797,86.55333472222222,95.9974138888889,89.4816375,102.01249999999999,15
4,7.194444444444445,6.25,0.7486171849445858,5.847222222222222,8.805902777777778,5.0,8.0,7.372111111111112,6.3294999999999995,0.7554538873007025,6.063679166666667,9.028543055555556,5.076,8.083,-0.17766666666666653,-0.0830000000000001,0.055789926268241946,-0.2870673611111109,-0.07976805555555545,-0.0879999999999991,-0.07749999999999965,92.90408333333335,99.87450000000001,2.4032423823273183,87.70897638888889,97.17940347222219,91.771,102.484,15
5,7.069444444444445,6.25,0.7559690453522975,5.763541666666668,8.569791666666667,5.0,7.75,7.316444444444446,6.58,0.7419528912060113,5.980080555555556,8.84697638888889,4.8255,7.582,-0.24699999999999994,-0.0879999999999991,0.05945631983442944,-0.3589006944444443,-0.13588402777777772,-0.5739999999999998,-0.0819999999999998,93.34841666666665,100.591,2.3976889012676152,88.63559583333334,97.73132013888889,93.7707875,102.953,15
6,6.944444444444445,6.25,0.7412927837107669,5.611111111111111,8.472222222222221,4.75,7.5,7.191166666666667,6.58,0.7519906761284524,5.785943055555555,8.707475,4.575,7.582,-0.2467222222222222,-0.0830000000000001,0.05657971776247322,-0.35839097222222216,-0.13488749999999983,-0.573,-0.0789999999999997,92.83744444444443,100.829,2.475067635261341,87.64097152777778,97.05509027777778,91.267,102.484,15
7,6.819444444444445,6.25,0.7583275190195149,5.485416666666667,8.250694444444443,5.0,7.25,7.135555555555555,6.3294999999999995,0.7632123239958316,5.855138194444446,8.81979722222222,4.8255,7.582,-0.316111111111111,-0.08749999999999941,0.06146628676901734,-0.426936111111111,-0.19202708333333315,-0.574025,-0.08050000000000021,93.29186111111112,100.59049999999999,2.355852813992183,88.53866180555558,97.52498263888887,89.745,102.953,15
8,6.888888888888889,6.5,0.7640512093053168,5.555555555555555,8.583333333333334,4.0,7.5,10.5585,9.836500000000001,0.9077337317615655,8.846170138888892,12.227455555555554,8.083,11.59,-3.669611111111111,-1.834,0.6384343576377651,-4.961590277777778,-2.461084722222222,-4.590999999999999,-1.073,84.31452777777777,87.9505,3.150577080796699,77.70872777777778,90.67281597222222,75.4069125,100.351,15
9,7.888888888888889,7.25,0.7443200559430144,6.486111111111111,9.334722222222222,5.5,9.0,13.465166666666665,12.8415,1.095109411436078,11.421272222222221,15.661359027777776,10.588000000000001,14.850762499999995,-5.5762777777777774,-4.594500000000001,0.9220334873331167,-7.579004861111112,-3.8369083333333345,-6.5920000000000005,-1.09,75.58397222222222,72.65350000000001,3.543266205404119,68.36963194444444,81.68213333333334,62.900987500000014,89.2065,15
10,9.042857142857143,9.0,0.6946286803763868,7.756785714285715,10.4,7.5,10.5,14.3346,13.593,1.0634649996018444,12.245685714285715,16.439006428571428,11.089,18.098,-5.291742857142857,-4.589,0.7837939955543081,-6.907547142857142,-3.7472528571428563,-6.600000000000001,-2.082,72.66071428571428,68.709,3.7007863113085557,65.41515,79.33847357142857,60.002,80.323,15
11,10.885714285714286,10.5,0.7492533298030034,9.456785714285715,12.386071428571428,9.0,13.0,15.278942857142859,15.095,0.9895140305779823,13.275807857142857,17.06783142857143,13.58047500000001,17.598,-4.393228571428572,-4.099,0.5318886234044519,-5.3527578571428585,-3.475534285714286,-5.597999999999999,-2.5920000000000005,71.01588571428573,65.267,3.765001935734753,64.172185,79.14349571428572,60.002,79.785,15
