day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
2,12.458333333333334,10.5,0.8496145047980792,10.979166666666666,14.188020833333333,9.5,13.256249999999994,11.854166666666666,9.75,0.9175617336311246,10.311979166666667,13.688020833333333,9.0,12.0,0.6041666666666666,0.5,0.4777467935970586,-0.375,1.4791666666666667,0.0,1.0,,,,,,,,11
3,10.875,10.5,0.5029352250337117,9.9375,11.938020833333333,9.25,11.75,10.5625,10.0,0.6414943067963845,9.436979166666667,11.854687499999999,9.0,11.0,0.3125,0.25,0.44417781479878116,-0.6041666666666666,1.1041666666666667,0.0,1.0,,,,,,,,11
4,9.145833333333334,8.25,0.7313373487200351,7.832291666666667,10.417187499999999,6.5,10.75,8.479166666666666,7.0,0.9740654972819688,6.686979166666667,10.395833333333334,5.5,10.0,0.6666666666666666,0.5,0.48684382322523145,-0.29218749999999954,1.6880208333333329,0.0,1.0,,,,,,,,11
5,8.791666666666666,7.75,0.6928181440149562,7.583333333333333,10.041666666666666,6.0,11.006249999999994,6.875,6.0,0.6264475989281933,5.7703125,8.146354166666667,4.5,8.512499999999989,1.9166666666666667,1.5,0.37910395245009654,1.2078125000000004,2.6875,1.0,2.5,,,,,,,,11
6,10.520833333333334,9.0,0.8714883813294763,8.874479166666667,12.292187499999999,7.5,13.0,8.354166666666666,6.25,0.9943131626700602,6.394791666666667,10.292187499999999,5.0,10.0,2.1666666666666665,2.0,0.603932363362743,1.0203125000000004,3.3333333333333335,1.5,3.0,,,,,,,,11
7,12.979166666666666,12.0,0.9332229327821577,11.145312500000001,14.6875,9.75,16.268749999999983,11.708333333333334,10.0,1.23722335023127,9.498958333333334,14.25,7.243750000000006,15.0,1.2708333333333333,1.75,0.7819169858145519,-0.29218749999999954,2.5416666666666665,1.0,3.0,,,,,,,,11
8,12.229166666666666,9.5,1.0342763199641802,10.270833333333334,14.313020833333333,9.0,12.5,12.104166666666666,9.0,1.2572179887577328,9.811458333333334,14.583333333333334,8.0,14.0,0.125,0.75,0.48645605428817845,-0.8541666666666666,0.9588541666666662,0.0,1.0,,,,,,,,11
9,8.166666666666666,8.5,0.6584640303213632,6.958333333333333,9.395833333333334,5.993750000000006,10.5,6.3125,6.0,0.8080283863753833,4.8953125,7.958333333333333,3.5,9.0,1.8541666666666667,1.5,0.4838694864854477,0.9583333333333334,2.8333333333333335,1.0,2.25,,,,,,,,11
10,11.020833333333334,9.25,0.8413450921052918,9.4375,12.604166666666666,8.0,13.5,9.5625,7.0,0.9942372449648837,7.666666666666667,11.584375,5.743750000000006,12.25,1.4583333333333333,2.0,0.6524179293898751,0.14531250000000048,2.6458333333333335,1.5,2.5,,,,,,,,11
11,12.354166666666666,10.75,0.9965880046268788,10.395833333333334,14.25,8.5,14.5,11.145833333333334,9.5,0.943359306627632,9.479166666666666,12.9375,7.5,14.0,1.2083333333333333,0.5,0.50979239404306,0.2286458333333338,2.1875,0.0,1.7562499999999943,,,,,,,,11
12,13.645833333333334,11.75,1.1121362646978286,11.520312500000001,15.6875,9.75,14.75,13.770833333333334,10.25,1.5571769230908745,10.895833333333334,16.896874999999998,8.5,17.0,-0.125,1.0,0.8883556295975623,-1.8755208333333329,1.2916666666666667,0.0,1.2562499999999943,,,,,,,,11
13,12.354166666666666,11.25,0.45888882674784065,11.520833333333334,13.25,10.5,13.5,11.833333333333334,10.5,0.47268377557392566,10.979166666666666,12.729166666666666,10.0,12.5,0.5208333333333334,0.5,0.28309746149570825,-0.042187499999999524,1.0625,0.25,1.0062499999999943,,,,,,,,11
14,13.270833333333334,11.75,0.7210469232019073,11.978645833333333,14.751041666666666,11.0,13.5,13.708333333333334,12.0,0.9931452866456517,11.875,15.645833333333334,10.5,15.006249999999994,-0.4375,0.0,0.4636345270120434,-1.4380208333333329,0.375,0.0,0.5,,,,,,,,11
