elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
345,10.8568,10.588,0.20121814033530866,10.5544,11.266399999999999,11.1,11.0,0.09999999999999999,11.0,11.3,-0.2432,-0.412,0.12156784114230208,-0.44559999999999994,-0.0408,88.46379999999999,88.534,2.062148064519131,84.796,92.3728
346,11.758,11.59,0.12113174645814356,11.5564,11.967400000000001,11.7,11.5,0.12247448713915889,11.5,11.9,0.05800000000000001,0.072,0.01651968522702536,0.02695000000000005,0.08579999999999999,88.98859999999999,88.534,2.008788704667568,85.60480000000001,92.0585
347,12.358799999999999,12.091,0.20088688359372814,12.057400000000001,12.7518,12.2,12.0,0.12247448713915889,12.0,12.4,0.1588,0.09,0.10481192680224898,0.029400000000000003,0.36819999999999997,88.7724,89.07,2.0563997811709678,84.87100000000001,92.4312
348,12.959399999999999,12.592,0.29343374039125086,12.541599999999999,13.481005,13.1,13.0,0.24494897427831777,12.7,13.6,-0.14059999999999997,0.008,0.10987884236740027,-0.325,0.047599999999999996,89.4122,89.07,2.1878543233040006,85.53479999999999,93.28960000000001
349,14.061000000000002,14.032,0.42555540179863777,13.43029,14.883199999999999,14.3,14.5,0.25495097567963926,13.8,14.7,-0.23900000000000002,-0.468,0.25845192976644615,-0.657,0.17461999999999983,90.255,90.136,1.9705127505296693,86.79400000000001,93.71749000000001
350,15.262,15.095,0.37676743489850634,14.6958,15.971799999999998,15.6,15.5,0.18708286933869706,15.3,15.9,-0.33799999999999997,-0.49,0.3663382316930626,-0.8216000000000001,0.37160499999999996,90.35799999999999,90.136,1.9377108143373725,86.6156,93.71600000000001
351,16.2628,16.096,0.3383470703286791,15.662799999999999,16.8538,16.0,16.0,0.15811388300841897,15.7,16.3,0.26280000000000003,0.096,0.2518506303347283,-0.13720000000000002,0.6721999999999999,90.45920000000001,90.136,1.7531696837442747,87.4156,93.50280000000001
352,16.7634,16.6,0.25783572289347345,16.3414,17.254,16.1,16.0,0.18708286933869706,15.8,16.4,0.6634,0.6,0.1924818432995694,0.3329999999999999,0.9719999999999999,90.4576,90.667,1.9442620605257939,87.103,93.81219999999999
353,16.663400000000003,16.6,0.19506219520963072,16.3284,16.98,16.0,16.0,0.0,16.0,16.0,0.6634,0.6,0.1950621952096305,0.3283999999999999,0.9716000000000001,90.7764,91.197,1.8624922442791558,87.484,93.91299
354,16.663400000000003,16.6,0.19506219520963072,16.333,16.98,16.1,16.0,0.09999999999999999,16.0,16.3,0.5634,0.577,0.17210246947676258,0.233,0.880115,91.078,91.197,1.8545717295375772,87.67080000000001,94.32220000000001
