rock,hour,temp_in_mean,temp_in_median,temp_in_sem,temp_in_mean_ci_low,temp_in_mean_ci_up,temp_in_median_ci_low,temp_in_median_ci_up,temp_out_mean,temp_out_median,temp_out_sem,temp_out_mean_ci_low,temp_out_mean_ci_up,temp_out_median_ci_low,temp_out_median_ci_up,temp_diff_mean,temp_diff_median,temp_diff_sem,temp_diff_mean_ci_low,temp_diff_mean_ci_up,temp_diff_median_ci_low,temp_diff_median_ci_up,hum_mean,hum_median,hum_sem,hum_mean_ci_low,hum_mean_ci_up,hum_median_ci_low,hum_median_ci_up
1,22,12.801085714285714,12.573,0.3679085321370078,12.128385714285717,13.516202857142854,12.072,14.074,12.257142857142858,12.0,0.3798337919192993,11.542857142857143,12.985714285714286,11.0,13.5,0.5439428571428572,0.573,0.05772082831706977,0.4429450000000002,0.6580285714285715,0.57,0.574,95.61017142857142,96.968,0.6590128580193365,94.39011571428571,96.82582500000001,93.447,97.464
1,23,12.62934285714286,12.072,0.39037820261950107,11.885512857142857,13.430400714285714,11.571,14.074,12.057142857142857,11.5,0.3936317802100797,11.328214285714287,12.842857142857143,11.0,13.0,0.5722,0.572,0.045837707863557856,0.4858814285714285,0.6579178571428572,0.571,0.574,95.50208571428571,96.469,0.6075742045788547,94.27506571428572,96.69307785714287,93.955,97.464
2,0,12.777114285714285,12.591,0.38848563078977855,11.989844285714286,13.564443571428571,11.59,14.094,12.185714285714285,12.0,0.3911229868933179,11.442857142857143,12.928571428571429,11.0,13.5,0.5914000000000001,0.591,0.06799922392043539,0.4491985714285714,0.7194085714285715,0.588,0.594,92.9906,92.776,0.9790434426117199,91.19955142857143,94.87981571428571,90.254,94.271
2,1,12.576885714285716,12.091,0.40777583183363264,11.761250714285715,13.33522857142857,11.59,14.094,11.985714285714286,12.0,0.4003599820737562,11.271428571428572,12.843214285714286,11.0,13.5,0.5911714285714287,0.592,0.05808220030953648,0.4759357142857142,0.7202357142857143,0.59,0.594,93.15340000000002,93.275,1.0192829315032117,91.17529714285715,95.14495357142857,89.745,95.26
2,2,12.419400000000001,12.591,0.41923794250637053,11.646827857142858,13.234973571428572,11.59,13.593,11.9,12.0,0.4098575280232278,11.085357142857143,12.642857142857142,10.5,12.5,0.5194,0.59,0.04665390541804943,0.43221428571428594,0.6057464285714286,0.587,0.592,93.09425714285715,92.776,0.9591626471925956,91.17338714285715,94.91426428571428,90.254,93.774
2,3,12.219000000000001,12.591,0.4342579762260751,11.374300714285713,13.134743571428572,11.089,13.593,11.742857142857142,12.0,0.4197695589166004,10.956785714285715,12.557142857142857,10.5,13.0,0.47614285714285715,0.589,0.0653105206352105,0.34761785714285715,0.6055771428571428,0.094,0.594,93.04820000000001,92.776,0.9757027106120993,91.40452928571429,94.88728785714288,89.745,94.766
2,4,12.104571428571429,12.091,0.45100658715440367,11.259957857142856,13.006114285714288,11.089,13.593,11.714285714285714,12.0,0.424702423891769,10.942857142857143,12.571428571428571,10.5,13.5,0.3902857142857143,0.589,0.09011518839169981,0.2177392857142857,0.5474878571428572,0.093,0.594,93.0145142857143,92.776,1.0006846340174826,91.11466357142858,94.97336357142856,89.745,94.766
2,5,11.992805555555556,12.091,0.4469869317706295,11.130192361111114,12.799724305555555,10.588,13.593,11.597222222222221,12.0,0.4304019183129624,10.790972222222223,12.417013888888889,10.5,13.0,0.39558333333333323,0.33849999999999997,0.07280099396452099,0.2683048611111113,0.5350277777777778,0.091,0.591,92.54886111111112,92.776,1.18283588481295,90.07982777777778,94.76647638888888,89.48949999999999,94.766
2,6,11.909277777777778,12.341,0.4498006059322306,11.00494375,12.786095833333333,10.588,13.092,11.541666666666666,12.0,0.42788470112907456,10.777430555555556,12.375347222222222,10.5,13.0,0.36761111111111106,0.0935,0.05467269533798642,0.2566374999999999,0.46586597222222215,0.0895,0.5914999999999999,92.48861111111113,92.274,1.199699321640918,90.15613055555555,94.75267916666668,89.745,94.7655
2,7,11.811916666666667,12.091,0.455216554736698,10.921498611111113,12.702279166666665,10.588,13.092,11.444444444444445,11.75,0.4395062966926088,10.527777777777779,12.333333333333334,10.0,12.5,0.36747222222222214,0.587,0.050842762374704344,0.2696618055555556,0.4649756944444445,0.094,0.591,92.75683333333335,93.0255,1.1814087907885147,90.37024930555556,95.0625375,89.745,94.77193749999999
2,8,11.832542857142856,12.091,0.4732986431612152,10.9449,12.719657857142858,10.588,13.092,11.628571428571428,12.0,0.4603354901649471,10.813928571428573,12.500357142857142,10.5,13.0,0.2039714285714286,0.092,0.0619780726434393,0.08836071428571429,0.3186307142857142,0.089,0.581,92.36794285714286,92.274,1.1663016834038629,90.2135492857143,94.64927142857144,89.745,94.766
2,9,11.975571428571428,12.591,0.48199470565402625,11.030702142857145,12.905600714285715,10.588,13.092,12.085714285714285,12.5,0.4350628826787616,11.228571428571428,12.914642857142857,11.0,13.0,-0.11014285714285715,0.089,0.08042310532644296,-0.25457285714285716,0.047546428571428566,-0.412,0.092,92.42445714285715,92.776,1.1678392209351347,90.2246607142857,94.88483071428573,89.745,93.774
2,10,12.462257142857142,13.092,0.44952126606363957,11.617970714285713,13.263520000000002,11.59,14.094,12.8,13.0,0.3846858371155753,12.113928571428572,13.514285714285714,12.0,14.0,-0.33774285714285707,-0.406,0.09480607666636748,-0.5388321428571429,-0.16568428571428573,-0.41,0.092,92.74228571428573,92.776,1.1553997420744018,90.47994785714286,94.88137499999999,89.745,94.271
2,11,13.3494,13.593,0.4138541784353558,12.533470714285713,14.207887142857142,12.091,15.095,13.657142857142857,13.5,0.320694773975539,13.0425,14.285714285714286,12.5,15.0,-0.30774285714285704,0.091,0.13144541854025224,-0.5659442857142859,-0.06411071428571431,-0.4090499999999999,0.095,93.1139142857143,92.776,1.0867692351056635,90.90046928571427,95.0035542857143,90.254,94.766
2,12,14.007542857142857,13.593,0.361691528682617,13.378085714285715,14.766429285714285,13.092,15.596,14.228571428571428,14.0,0.30358007896721134,13.628571428571428,14.8,13.5,15.5,-0.2210285714285714,-0.404,0.11998186477609882,-0.46449357142857145,0.008002142857142862,-0.407,0.096,93.12474285714286,93.275,0.9488695337994938,91.32279500000001,94.95221071428571,90.254,94.766
2,13,14.679971428571427,14.594,0.32549191856576204,14.050571428571429,15.266344285714286,13.593,16.096,14.742857142857142,15.0,0.2691188770562095,14.185714285714285,15.214285714285714,14.0,15.5,-0.06288571428571428,0.094,0.10830537880470764,-0.2637457142857143,0.15134928571428571,-0.406,0.097,92.315,92.274,1.0705599171155502,90.15524142857143,94.47328285714288,89.234,95.26
2,14,15.080514285714285,15.095,0.29492461469898057,14.522683571428573,15.65268642857143,14.094,15.596,15.071428571428571,15.0,0.26181562017493726,14.557142857142857,15.628571428571428,14.0,16.0,0.009085714285714284,0.095,0.10161233276757398,-0.17717357142857143,0.19554928571428576,-0.404,0.593,91.63308571428573,92.274,1.2327641049444031,89.20403785714286,93.98924714285714,87.177,95.26
2,15,15.38085714285714,15.095,0.2853380102125001,14.880199285714282,15.896156428571429,14.594,16.096,15.0,15.0,0.2696091163708158,14.499642857142858,15.557142857142857,14.0,16.0,0.3808571428571428,0.594,0.07196613515983706,0.23709000000000022,0.509742857142857,0.096,0.595,91.47868571428572,91.771,1.151603115552533,89.40889357142856,93.64822928571428,89.234,94.766
2,16,15.466714285714284,15.596,0.27252805135528746,14.93759642857143,15.953412142857141,14.594,16.096,14.771428571428572,14.5,0.2651643355542747,14.228571428571428,15.2575,14.0,15.5,0.6952857142857143,0.597,0.06086996156470247,0.5809707142857142,0.8098285714285715,0.595,1.091,91.70202857142857,91.771,1.1796984228537195,89.35314428571428,94.08429428571428,88.722,94.766
2,17,15.237857142857141,15.095,0.26883792606735546,14.737171428571429,15.738897857142854,14.594,16.096,14.2,14.5,0.2713179783540915,13.713928571428571,14.7,13.5,15.0,1.037857142857143,1.093,0.05715126828852353,0.9377135714285715,1.138287857142857,1.092,1.097,92.01268571428572,92.776,1.0735783758196749,90.03600357142858,94.10632785714286,88.208,94.271
2,18,14.823028571428573,14.594,0.27332571601445405,14.279073571428574,15.323657142857142,14.094,15.596,13.7,13.5,0.28930516585708704,13.17142857142857,14.257142857142858,13.0,14.5,1.1230285714285713,1.094,0.07919058476540121,0.9803428571428571,1.2805164285714286,1.091,1.097,92.20874285714285,93.275,1.0273103990705124,90.13350785714285,94.1438757142857,88.722,94.271
2,19,14.336714285714285,14.094,0.27413624954267785,13.778361428571428,14.823469285714284,13.593,15.095,13.314285714285715,13.5,0.2913931433400488,12.756785714285716,13.88642857142857,12.5,14.0,1.0224285714285715,1.092,0.07704568420737136,0.8796785714285712,1.1793442857142857,0.597,1.094,92.25182857142856,91.771,1.0258105206838823,90.34105214285717,94.1468892857143,88.208,94.766
2,20,13.864628571428574,13.593,0.3005259369830162,13.2638,14.408257857142859,13.092,14.594,12.928571428571429,13.0,0.31962613213837554,12.342500000000001,13.514642857142857,12.5,13.5,0.9360571428571429,1.091,0.08135994247844598,0.7791992857142858,1.079029285714286,0.595,1.095,92.43348571428571,92.776,1.04821139006944,90.51556571428571,94.51536857142857,89.234,93.774
2,21,13.521142857142857,13.593,0.3265963333321095,12.848275714285712,14.122442142857144,12.591,14.594,12.757142857142858,12.5,0.3326563754170995,12.157142857142857,13.400357142857143,12.0,13.5,0.764,0.594,0.07084028669117168,0.6211135714285714,0.9070857142857143,0.592,1.09,92.478,92.776,1.04019969882969,90.41699071428572,94.44876500000002,88.722,94.271
